deltat,IMU1,IMU2
5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.49,5.49
0.01,5.48,5.48
0.01,5.48,5.48
0.01,5.48,5.48
0.01,5.48,5.48
0.13,5.47,5.47
0.01,5.47,5.47
0.01,5.47,5.47
0.01,5.47,5.47
0.01,5.47,5.47
0.01,5.47,5.47
0.01,5.47,5.47
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.01,5.46,5.46
0.13,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.45,5.45
0.01,5.44,5.44
0.01,5.44,5.44
0.01,5.44,5.44
0.01,5.44,5.44
0.13,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.01,5.43,5.43
0.13,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.01,5.42,5.42
0.13,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.13,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
0.01,5.41,5.41
