deltat,IMU1,IMU2
0.13,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.01,6.21,6.21
0.13,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.01,6.20,6.20
0.13,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.01,6.19,6.19
0.13,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.01,6.18,6.18
0.13,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.01,6.17,6.17
0.13,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.16,6.16
0.01,6.15,6.15
0.13,6.15,6.15
0.01,6.15,6.15
0.01,6.15,6.15
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.01,6.14,6.14
0.13,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.13,6.13
0.01,6.12,6.12
0.01,6.12,6.12
0.01,6.12,6.12
0.01,6.12,6.12
0.01,6.12,6.12
0.01,6.12,6.12
0.13,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.11,6.11
0.01,6.10,6.10
0.01,6.10,6.10
0.01,6.10,6.10
0.01,6.10,6.10
0.01,6.10,6.10
0.01,6.10,6.10
0.13,6.09,6.09
0.01,6.09,6.09
0.01,6.09,6.09
0.01,6.09,6.09
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.01,6.08,6.08
0.13,6.06,6.06
0.01,6.06,6.06
0.01,6.06,6.06
0.01,6.06,6.06
0.01,6.06,6.06
0.01,6.06,6.06
0.01,6.06,6.06
0.01,6.05,6.05
0.01,6.05,6.05
0.01,6.05,6.05
0.01,6.05,6.05
0.01,6.05,6.05
0.01,6.05,6.05
0.01,6.05,6.05
0.13,6.03,6.03
0.01,6.03,6.03
0.01,6.03,6.03
0.01,6.03,6.03
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.02,6.02
0.01,6.01,6.01
0.01,6.01,6.01
0.13,5.99,5.99
0.01,5.99,5.99
0.01,5.99,5.99
0.01,5.99,5.99
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.98,5.98
0.01,5.97,5.97
0.01,5.97,5.97
0.01,5.97,5.97
0.13,5.95,5.95
0.01,5.94,5.94
0.01,5.94,5.94
0.01,5.94,5.94
0.01,5.94,5.94
0.01,5.94,5.94
0.01,5.94,5.94
0.01,5.93,5.93
0.01,5.93,5.93
0.01,5.93,5.93
0.01,5.93,5.93
0.01,5.93,5.93
0.01,5.92,5.92
0.01,5.92,5.92
0.13,5.89,5.89
0.01,5.89,5.89
0.01,5.89,5.89
0.01,5.89,5.89
0.01,5.89,5.89
0.01,5.88,5.88
0.01,5.88,5.88
